,car_id,marke,modell,preis,kilometer
1000,7d7d2860-8660-4aba-ba7d-8c6655750012,Volkswagen,CC,15.500 €,91.000 km
1001,4021516b-0987-4a69-bdd8-13c6427d1db9,Volkswagen,Golf,14.900 €,93.500 km
1002,5073654f-506b-4b72-8d7c-a224d6f38ccb,,,,
1003,4a7f6483-31c3-4d88-8d3a-874549d3066d,Volkswagen,Sharan,17.000 €,114.000 km
1004,9bdf7e39-08cf-47a3-87dd-54f7a93c788f,Audi,A4,17.990 €,96.500 km
1005,6019c693-db7c-4ad6-bee2-4c0ce9312253,Audi,A3,16.490 €,85.051 km
1006,bbb6bbae-d6df-4d74-bc9b-65df0fd5da91,Volkswagen,Golf,12.950 €,84.500 km
1007,15eddd70-2a35-4b49-ba90-44140d0cd102,BMW,530,21.990 €,91.812 km
1008,1bd2f2e3-5795-41af-a985-54f57fbdf077,Volkswagen,Golf,17.350 €,98.936 km
1009,8f35ac0f-9b7b-45c2-b073-2d7c1b28c9a8,Land Rover,Discovery,27.490 €,97.000 km
1010,9a0cdc53-0ab3-43f0-94d4-c64da8e0f205,Volkswagen,CC,15.500 €,91.000 km
1011,0d840f32-fb12-4203-866d-a0d8d725c5cf,BMW,320,14.749 €,94.505 km
1012,9bc6aeee-c438-4849-839e-6b425d745684,,,,
1013,87f6d2c8-306a-4cd6-897c-e30c1b1f53e0,Volkswagen,Golf,16.430 €,88.000 km
1014,ffbcb10a-9242-4a47-a0f9-1dc6d42362fe,Volkswagen,Golf,26.990 €,99.980 km
1015,331a6ec8-5fce-435d-89c5-67c9c9fe5e40,Volkswagen,Golf,17.350 €,98.936 km
1016,915344fa-7f22-42e3-9b25-e33030989bef,Volkswagen,CC,15.500 €,91.000 km
1017,77e42cce-d2cf-434b-b619-173eae91c0d7,Volkswagen,Golf,26.990 €,99.980 km
1018,815427e5-26dd-4c68-8bd5-8548e122fe9a,Mercedes-Benz,GLA 220,29.879 €,84.848 km
1019,534500ae-da67-4fed-a813-9697d764ac52,Volkswagen,Touran,30.995 €,13.900 km
1020,0dd5d747-b9e1-4141-bf7d-8b9b9d77098a,BMW,530,21.990 €,91.812 km
1021,50286dce-114a-4bf7-9ea7-23f48ce5ed9e,Audi,A3,16.490 €,85.051 km
1022,38847d35-67bb-4529-a20f-c54a2d037cef,Volkswagen,Golf,16.430 €,88.000 km
1023,bcc4379f-d493-4d33-b915-543b3df22271,Volkswagen,Golf,16.430 €,88.000 km
1024,8334160d-1a8d-4481-9cdb-b68a3779d944,BMW,320,14.749 €,94.505 km
1025,4c26c949-c3fb-42b3-ad70-08f87a3248ef,Volkswagen,Caddy,15.890 €,111.418 km
1026,0c6205ff-2e16-4ac8-8f42-7621a102c331,Volkswagen,Beetle,15.985 €,94.500 km
1027,2bbda470-a3f8-4d21-8049-7e370d133458,Volkswagen,Golf,16.490 €,103.000 km
1028,dacd0b6b-fdc2-4259-ac0d-c679b4d94aed,Volkswagen,Golf,16.490 €,103.000 km
1029,7cbc7113-4707-477f-86ee-80f8f0b39e20,BMW,320,14.749 €,94.505 km
1030,8e3d4830-2cfe-41f0-97d4-34483b230588,Volkswagen,Golf,16.490 €,103.000 km
1031,464989be-da23-441b-9121-c21a0e0b8a73,Volkswagen,Golf,16.490 €,103.000 km
1032,04e4a106-dffb-4612-8204-638195834552,Volkswagen,Golf,16.490 €,103.000 km
1033,d1a91468-8a26-469b-ab0d-78bc59cbc1bb,Volkswagen,Golf,14.900 €,93.500 km
1034,2837db5c-0c62-49e4-b604-c0f44695adcb,Volkswagen,CC,16.600 €,80.304 km
1035,257b8dc1-e3c2-46f0-b9c3-f990a1e5f8ce,Audi,A4,17.990 €,96.500 km
1036,d7866244-9f9b-4f93-a042-a3bcea9ce881,Volkswagen,Golf,11.975 €,102.100 km
1037,b6f85c51-541f-4c27-9329-524b2129e5b5,Volkswagen,Beetle,15.985 €,94.500 km
1038,24f0b1b0-f1d5-46cc-a16f-6de84bd70b03,Volkswagen,Golf,26.990 €,99.980 km
1039,ae8d92ea-1464-4739-81be-8f09e5c188c5,Volkswagen,Caddy,15.890 €,111.418 km
1040,5e7f0009-0758-4b75-8b96-a73f0227dcef,Volkswagen,Passat Variant,15.000 €,100.000 km
1041,af56563e-e491-470d-9959-0a6757f0a1eb,Audi,A3,16.490 €,85.051 km
1042,7d2e9a09-b433-40e9-9472-b44dcaffa038,Audi,A4,17.990 €,96.500 km
1043,d3289c72-9e17-4207-9774-699ee7d06785,Volkswagen,Golf,16.490 €,103.000 km
1044,db919582-eb60-4d98-89be-bcaea367dd77,Volkswagen,Golf,16.430 €,88.000 km
1045,58594b2c-f381-4f73-82a9-127cfd0ae395,,,,
1046,4fb1f085-20f0-4baf-bb6d-a9a285dffe90,Mercedes-Benz,E 350,23.332 €,96.850 km
1047,071513b9-f914-4b0b-9386-bf44b79b5cca,Volkswagen,Caddy,15.890 €,111.418 km
1048,e5d7a3ba-2b63-432d-832e-23bf4b277436,Mercedes-Benz,E 220,17.890 €,104.975 km
1049,cea3f2da-3c99-4102-b0c3-e48c6eff25a0,Volkswagen,Golf,12.880 €,97.860 km
1050,d4430041-b376-4196-ae5d-a82b252cd914,Volkswagen,Golf,16.490 €,103.000 km
1051,b79e1ba5-6c67-48ca-b663-208188c229e3,Volkswagen,Beetle,15.985 €,94.500 km
1052,604ee829-ea5e-4961-b69f-3d70b758b3f3,Volkswagen,Golf,16.430 €,88.000 km
1053,e5df465c-e27f-4b54-901d-b9fc03a3e71d,Volkswagen,Golf,26.990 €,99.980 km
1054,0d6d3c13-bd76-4a59-b790-5fd59d19c5da,Volkswagen,Golf,10.990 €,81.576 km
1055,02593c4b-b3c9-4d54-8d7c-daead2a409d7,Volkswagen,Golf,16.490 €,103.000 km
1056,9ebb15cc-b0fd-47eb-8fa1-06a04041748f,Volkswagen,T5 Caravelle,19.980 €,113.200 km
1057,09309a10-84df-41b2-a82a-aa65a3d8451c,Volkswagen,Golf,18.900 €,108.653 km
1058,a7535575-2ab4-4b41-a05e-b63f5c3c475a,Volkswagen,Golf,16.430 €,88.000 km
1059,4a34c206-85cd-4e51-8cb7-2422f0af81f6,Porsche,Panamera,117.800 €,19.500 km
1060,892efb4f-6bcb-420b-8b4a-9752de5f22c9,BMW,320,14.749 €,94.505 km
1061,7393b55a-1e42-4fac-a470-8b55612ff2c0,Audi,A3,16.490 €,85.051 km
1062,2b690089-3d32-4e5c-9d9d-88ae0220d381,Volkswagen,Sharan,17.000 €,114.000 km
1063,2cc5b0c8-d176-4d18-a4dd-c92ca5ca1bcc,Volkswagen,Sharan,17.000 €,114.000 km
1064,85ece410-5373-4499-8dcd-430636b3d861,Audi,A4,17.990 €,96.500 km
1065,c0525a77-a735-49bc-8cc3-f3427f40aa7c,Volkswagen,Golf,14.900 €,93.500 km
1066,3ba778cf-b8ec-4a6b-bd37-38d45bcf58e0,Volkswagen,Golf,26.990 €,99.980 km
1067,63bb8864-7921-4b49-9bbc-4ccedc1e21aa,Mercedes-Benz,E 350,23.332 €,96.850 km
1068,d43a6585-bfc6-452e-9779-0fa8f88790bc,Volkswagen,Golf,12.950 €,84.500 km
1069,f3d1bfda-ed23-4b88-bfeb-c632af2f6b80,Volkswagen,Golf,17.350 €,98.936 km
1070,7fd00269-48c1-47c0-bfe4-e42e9c7af6a0,Volkswagen,Golf,17.350 €,98.936 km
1071,323938ea-c578-4104-b580-397ec3f353bd,Volkswagen,Golf,16.430 €,88.000 km
1072,9311e0dd-368a-4d1a-8f12-ce6cce2a18fd,Ford,Transit,54.590 €,20.080 km
1073,15f2ab66-66dc-4c3d-95fd-3acac37eba19,Volkswagen,Golf,12.950 €,84.500 km
1074,d9bbe716-3358-497d-ba54-3fdc6679c154,Audi,A4,17.990 €,96.500 km
1075,38cadcb5-4c73-4672-987b-e195504f25ae,Volkswagen,Sharan,17.000 €,114.000 km
1076,c1db5261-9534-4a71-9a0e-0ebbe63dcb2f,Volkswagen,Passat Variant,17.650 €,130.000 km
1077,ed5de2de-6f61-43df-954e-a741d95129f0,Volkswagen,Golf,16.430 €,88.000 km
1078,f17bf825-4dda-43f2-9f74-49c7875496df,BMW,320,14.749 €,94.505 km
1079,b6f25467-d985-4004-b651-9b28505fd45b,Volkswagen,Passat Variant,15.000 €,100.000 km
1080,09f901dc-ad1a-44f5-911a-25ce0c83fa51,Volkswagen,Golf,17.350 €,98.936 km
1081,acec13d8-5637-43ee-ae7e-2d58de560926,Volkswagen,Passat Variant,17.980 €,92.710 km
1082,892b0548-2177-4f04-a936-7d303a55a912,Mercedes-Benz,GLA 220,29.879 €,84.848 km
1083,fad5759b-3158-488c-b577-055db7262479,BMW,320,14.749 €,94.505 km
1084,794cb189-eb5c-4e10-8bb8-1bf1f091a08e,Volkswagen,Golf,16.430 €,88.000 km
