,car_id,erstzulassung,kraftstoffart,getriebe,leistung,hubraum,farbe
0,d01f7c7c-1e51-456f-9405-87559094d6b7,02/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Grau Metallic
1,db065eed-b9be-4e2a-b41e-71458ac77c14,11/2011,Diesel,Automatik,135 kW (184 PS),1.995 cm³,Schwarz Metallic
2,d1fba947-f23b-4a0a-a828-5aee99f8ba7d,01/2011,Diesel,Schaltgetriebe,81 kW (110 PS),1.968 cm³,Schwarz Metallic
3,0cdcdc1b-b435-48bd-8466-4077d4688446,07/2013,Benzin,Schaltgetriebe,90 kW (122 PS),1.390 cm³,Grau Metallic
4,065de1fc-a6b8-41ce-a308-a2fe546262f2,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
5,91874efc-62a0-4db1-8448-14fdb4598592,02/2014,Benzin,Schaltgetriebe,162 kW (220 PS),1.984 cm³,Weiß Metallic
6,db9916e7-25d6-4f40-9985-fa9e0c7295c4,04/2017,Diesel,Automatik,130 kW (177 PS),2.143 cm³,Schwarz Metallic
7,a32f6cd8-69d1-4798-8eef-bdc6ab91db7f,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
8,3413fb43-03ac-42c8-ae64-700d91d89d65,08/2010,"Benzin, E10-geeignet",Schaltgetriebe,75 kW (102 PS),1.568 cm³,Rot Metallic
9,88f3948a-354b-46a7-ba56-0a0cb95bc1ac,09/2010,Diesel,Schaltgetriebe,77 kW (105 PS),1.896 cm³,Grau Metallic
10,b2f3d779-bc49-42ad-b706-573c2b27ce0f,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
11,654c08ba-9698-4951-9081-6bfb0e879b27,02/2015,Benzin,Automatik,221 kW (300 PS),1.984 cm³,Blau Metallic
12,988410cc-903d-4b22-8d61-726c7461352f,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
13,fadf08ec-f474-4d47-9412-e2ad7ec0621a,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
14,dc245d34-4e2e-4b59-ba84-ea2d9b31a8f8,05/2013,Benzin,Automatik,195 kW (265 PS),1.984 cm³,Blau Metallic
15,a284ab83-1591-4482-958a-70837a7bca6a,02/2014,Benzin,Schaltgetriebe,162 kW (220 PS),1.984 cm³,Weiß Metallic
16,e99ee87b-8ba6-4e7e-9af9-bd3824ff164d,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
17,336161bb-4329-4581-acf5-253c394f502b,09/2013,Diesel,Schaltgetriebe,103 kW (140 PS),1.968 cm³,Weiß
18,32dd5f1f-ce13-4ea1-b67e-7bbc319dd24b,06/2012,Diesel,Automatik,125 kW (170 PS),1.968 cm³,Silber Metallic
19,161f4b06-100e-423e-904f-129e6d3fed82,03/2013,Benzin,Schaltgetriebe,118 kW (160 PS),1.390 cm³,Weiß
20,88cbe874-b670-4e76-893d-a9bf4c20fddb,11/2014,Benzin,Schaltgetriebe,110 kW (150 PS),1.395 cm³,Schwarz Metallic
21,98943272-5a35-486e-a05c-25f40bc5baca,01/2021,Diesel,Automatik,147 kW (200 PS),1.968 cm³,Silber Metallic
22,db49934d-d19f-42c9-8ce9-293e7aaf0247,01/2013,Diesel,Automatik,185 kW (252 PS),2.987 cm³,Silber Metallic
23,fe854b01-7b9c-472e-8452-86e911142619,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
24,c63da6fb-df71-49ed-aeef-9aed9487aee2,,,,,,
25,02233593-3971-4a8c-b672-402c27c33567,04/2016,Diesel,Automatik,110 kW (150 PS),1.968 cm³,Weiß
26,671e5b2f-fdc5-4c6a-bb79-9318f5b97114,03/2013,Benzin,Schaltgetriebe,118 kW (160 PS),1.390 cm³,Weiß
27,f814ec13-919f-4295-86c6-a709fa399687,03/2012,Diesel,Automatik,190 kW (258 PS),2.993 cm³,Blau Metallic
28,28b47e41-2639-41bc-be5c-b5d8f26d223a,04/2011,Benzin,Schaltgetriebe,77 kW (105 PS),1.197 cm³,Silber Metallic
